N,P,K,temperature,humidity,ph,rainfall,previous_crop,soil_type,water_requirement,investment_per_acre,crop_duration,label,previous_crop_profit_per_acre,predicted_crop_profit_per_acre
52,71,102,30.225929244756216,21.83953223824231,5.258314259849683,259.90289118098946,Sugarcane,Loamy Soil,Medium,30059,Medium (5-7 months),Sugarcane,93002,133657
129,104,81,15.805258273650784,69.65320283550923,9.63847536242671,267.92803941892447,Cotton,Sandy Soil,High,45705,Short (3-4 months),Sesame,45001,50039
83,81,184,13.877132761496643,37.82854787474942,9.66541256512545,119.25020753432105,Rice,Red Soil,Medium,39222,Long (8-12 months),Millets,65904,25690
91,39,130,27.336780749197477,22.10865582349602,4.577628800056692,206.7455059882967,Wheat,Red Soil,High,38882,Long (8-12 months),Maize,78684,108291
110,49,43,33.0059133173571,49.71888008244865,6.916656564568771,38.55222486455763,Wheat,Sandy Soil,Medium,71529,Medium (5-7 months),Barley,25075,20449
7,72,75,25.03323932081056,89.47923413401034,8.582249629749093,159.18324188282486,Sugarcane,Sandy Soil,Medium,65462,Medium (5-7 months),Barley,37527,90212
34,21,110,11.266529830556163,45.65969113803877,3.856979109570653,83.3876474122453,Rice,Loamy Soil,High,46327,Medium (5-7 months),Wheat,95487,103791
80,9,144,41.069169466860664,73.89011531046643,4.29930241674188,103.39669200553524,Sugarcane,Black Soil,High,57436,Long (8-12 months),Cotton,22265,83665
49,61,59,33.04509426128301,91.45877241538062,7.008598669063784,149.37557251982062,Chilli,Red Soil,High,66021,Long (8-12 months),Maize,77497,50642
103,99,122,30.47425243641414,28.77220666164195,3.686984268646068,274.5085191212202,Chilli,Loamy Soil,Low,32211,Medium (5-7 months),Wheat,83308,84905
131,34,98,31.255959166974172,66.52401120127307,8.861171255891202,249.41159537693275,Wheat,Sandy Soil,High,64391,Short (3-4 months),Peanut,71713,63892
1,11,180,22.71700751200156,92.0660720032997,9.119504308643894,126.66391700516294,Cotton,Loamy Soil,High,52962,Medium (5-7 months),Rice,96780,117568
133,128,102,43.13185328516893,30.83815223234746,8.23947831302845,153.14690842374964,Sugarcane,Sandy Soil,Low,39544,Long (8-12 months),Barley,26368,84515
53,95,13,13.449521166240768,99.01427796326828,8.792809582715975,263.5246946572088,Wheat,Red Soil,Low,48128,Medium (5-7 months),Millets,85369,69199
105,56,144,34.584617451997865,45.554400521914594,7.824092784440607,43.174233072439506,Chilli,Black Soil,Low,46413,Long (8-12 months),Soybean,90340,71220
3,10,73,23.493125489250794,32.90518673323503,4.41700307326239,236.38803541876808,Sugarcane,Sandy Soil,Medium,51417,Medium (5-7 months),Peanut,79444,142395
53,113,87,39.53171191339683,86.07913723412796,3.6967270175177176,67.31990801789301,Wheat,Black Soil,Medium,78158,Long (8-12 months),Cotton,76138,78635
43,99,189,33.8220998286769,54.368993024192456,8.958222242406586,97.808193514248,Cotton,Loamy Soil,High,42475,Medium (5-7 months),Wheat,36621,106204
13,70,32,28.420062570667554,71.75114620851761,8.052035684883887,80.76927580644434,Wheat,Black Soil,Low,51463,Long (8-12 months),Soybean,54788,148433
94,14,21,41.50412752918319,56.229048431750954,6.066994509952424,173.6507325284497,Chilli,Sandy Soil,Low,49883,Long (8-12 months),Peanut,33700,81502
47,30,26,40.62416008735336,69.42371135055677,8.62868438221276,84.23111981340443,Rice,Sandy Soil,High,73142,Long (8-12 months),Sesame,79321,103913
14,137,167,10.649504995110366,17.2899903133824,3.8473607156631924,147.28166430264577,Wheat,Red Soil,Medium,33005,Long (8-12 months),Maize,53670,123149
39,72,117,15.537333181582687,44.27683218974964,5.556581767450764,27.47538237143069,Rice,Red Soil,Low,54034,Short (3-4 months),Groundnut,61189,58493
81,102,191,32.38577539464032,70.60533396912561,5.702961947183704,108.23710189846012,Rice,Red Soil,Low,51038,Medium (5-7 months),Maize,22156,140870
110,75,151,40.951611265122445,44.32829696739231,4.179134869738219,218.16109761909792,Wheat,Loamy Soil,Medium,60039,Long (8-12 months),Sugarcane,63170,74316
52,54,182,23.822597144539913,80.75870179435645,8.274112274360677,141.22234669153707,Chilli,Sandy Soil,Low,68150,Long (8-12 months),Sesame,34233,68759
23,21,158,10.160605585938665,96.62874606077541,8.504513352355191,249.38694461719376,Rice,Red Soil,Medium,54284,Long (8-12 months),Maize,98818,46694
123,15,112,31.244467371408646,17.465092637974273,7.25473586143918,148.1856239415252,Rice,Loamy Soil,High,79928,Medium (5-7 months),Sugarcane,49689,65946
40,57,64,15.61048122519989,87.57919324911256,6.191719018011678,264.03084348071013,Wheat,Sandy Soil,Low,33751,Short (3-4 months),Barley,85919,50769
14,54,48,28.0739867969891,28.750855953206532,7.408305018384324,130.02516519022444,Chilli,Red Soil,High,55748,Short (3-4 months),Millets,87844,45178
44,140,188,22.231816413041003,92.89569461463302,9.28165560251943,120.7292415007123,Sugarcane,Sandy Soil,Low,59627,Short (3-4 months),Sesame,64560,140611
64,128,47,28.272815666982915,95.42074609189189,5.8052188223910175,91.69210325769258,Sugarcane,Red Soil,Low,39652,Short (3-4 months),Maize,43487,110516
88,66,155,41.320911059282416,63.05029900458556,5.654074800594483,148.76848516687028,Cotton,Red Soil,High,47464,Long (8-12 months),Millets,58449,130575
70,80,154,25.755737054399294,55.320796450261476,7.509107568378737,251.49490850050034,Wheat,Sandy Soil,High,34868,Short (3-4 months),Sesame,70821,48623
8,127,179,10.028997979743858,79.27956059319477,7.900777208614075,218.91047065869986,Rice,Loamy Soil,Medium,66248,Long (8-12 months),Sugarcane,93508,57499
87,94,59,29.0705610169451,92.95436552085415,6.448231811711629,68.25902786426667,Chilli,Sandy Soil,Medium,42874,Medium (5-7 months),Peanut,44704,82125
128,33,15,20.177847285275725,34.18420881680397,9.032041950658726,277.78248610164303,Rice,Black Soil,Medium,54025,Long (8-12 months),Cotton,63134,149633
135,106,59,35.94353408297599,47.042387323257245,5.770085515391802,144.54321631250755,Sugarcane,Loamy Soil,Medium,58981,Short (3-4 months),Rice,86836,62501
62,105,158,25.20259655111603,50.05082704483001,7.6260672386541515,82.10805852901463,Chilli,Loamy Soil,High,36947,Medium (5-7 months),Rice,58407,106145
138,114,133,34.66231025507652,86.76508186071435,7.7989057315947194,281.6155250660152,Chilli,Sandy Soil,Low,39113,Medium (5-7 months),Peanut,72017,72713
80,113,194,40.49792130465798,25.995092091563897,5.400542097996663,142.87255060004034,Wheat,Red Soil,Low,43945,Medium (5-7 months),Groundnut,75832,57286
135,33,153,21.450857517472073,67.66777723509294,3.6259732260938304,68.5700344741292,Wheat,Black Soil,High,57032,Long (8-12 months),Soybean,64658,105651
32,63,12,43.30531522679971,44.342074630291634,8.820148862044881,249.3824425405416,Cotton,Sandy Soil,Low,74856,Medium (5-7 months),Barley,72044,140971
122,74,152,14.046625902752837,90.16770764466058,6.606864275900097,159.4742350109464,Wheat,Loamy Soil,Low,32934,Medium (5-7 months),Rice,93609,27809
4,100,177,31.26657685981068,43.386217416705186,4.1185608271246625,74.98705887226221,Rice,Loamy Soil,High,30804,Long (8-12 months),Sugarcane,74764,60316
40,48,85,10.037319397024232,98.0913469428884,9.662185206039979,209.57466427452724,Chilli,Loamy Soil,Low,41780,Short (3-4 months),Sugarcane,48791,148145
27,88,83,16.250660838581187,15.59808416256783,5.410878303496785,293.5460125716163,Rice,Sandy Soil,High,75417,Long (8-12 months),Sesame,93818,40904
134,125,69,30.91274350286047,34.79349532316681,6.555737381266532,43.678806540363254,Cotton,Loamy Soil,Medium,40628,Short (3-4 months),Sugarcane,47887,136063
71,61,64,10.4354484758961,53.46134286771139,6.617466530912677,141.12865656779906,Chilli,Sandy Soil,Low,75547,Short (3-4 months),Barley,26324,74742
11,121,199,12.372936173094839,36.2311663757706,5.889121616822189,163.04931238878018,Cotton,Red Soil,Medium,59379,Medium (5-7 months),Groundnut,51227,83670
32,68,99,18.967341102625163,77.47024037394229,4.479480205010755,204.2518773156373,Chilli,Black Soil,Medium,54440,Medium (5-7 months),Soybean,89475,20657
47,103,60,28.886524343592022,84.08451652094783,8.03358510832876,83.8102427169789,Wheat,Red Soil,Low,30367,Long (8-12 months),Millets,92294,64080
61,42,132,9.382663896431145,74.05110088233005,4.761794682454254,71.6638914667651,Wheat,Red Soil,Medium,59998,Medium (5-7 months),Groundnut,75937,112183
36,31,126,25.63563298022992,97.44432044190404,7.892337220215102,226.72054388352532,Sugarcane,Black Soil,Low,38368,Medium (5-7 months),Cotton,24083,43906
98,21,35,30.632730694256473,53.351366754649646,8.662578054449959,206.52275174738526,Sugarcane,Black Soil,Medium,78453,Long (8-12 months),Soybean,65007,81568
103,67,89,22.853520799428566,98.24766526259333,3.653499541533206,88.6192198873285,Sugarcane,Black Soil,High,41175,Short (3-4 months),Chilli,33760,64589
34,15,91,11.18290974582511,24.94014108346588,8.210375208477444,36.03794453310414,Sugarcane,Black Soil,High,36979,Medium (5-7 months),Cotton,94828,57999
100,68,130,30.114544788728434,86.77566078545146,7.60752150412663,242.9317302852721,Wheat,Black Soil,Medium,69460,Medium (5-7 months),Cotton,54089,54132
130,43,85,29.938928250206747,17.553374559362044,4.763640491101008,210.09879386774907,Cotton,Black Soil,High,30121,Medium (5-7 months),Chilli,93934,62255
0,134,26,26.461158872586733,59.855968422571245,7.492804065305764,265.0967660231519,Rice,Sandy Soil,Medium,75596,Medium (5-7 months),Sesame,28095,52436
4,119,194,32.981668628437376,55.788804995823014,6.210456357530179,39.037038248016714,Sugarcane,Sandy Soil,Medium,51052,Medium (5-7 months),Peanut,38062,28808
102,49,60,16.067527388856053,87.66332789288019,4.048707272153433,155.90826761166213,Cotton,Loamy Soil,High,31426,Medium (5-7 months),Sugarcane,68857,97173
26,92,90,32.472696328456756,74.32751273621543,6.872244769727803,64.64172796875708,Sugarcane,Black Soil,High,63018,Medium (5-7 months),Chilli,54763,121154
136,84,127,14.452343086292382,52.067096706566396,9.763307089525068,208.07392872908943,Sugarcane,Loamy Soil,Medium,74144,Long (8-12 months),Sugarcane,23742,70840
14,13,204,22.510976436093035,91.0384413953556,7.676821540679447,89.66161768322698,Wheat,Red Soil,High,58404,Long (8-12 months),Millets,40084,76615
89,109,115,11.180360091287348,90.1981629066098,5.630266599472122,93.3875888149904,Cotton,Sandy Soil,Low,33937,Medium (5-7 months),Peanut,58667,117951
41,129,12,37.3721134366546,16.378147439143337,7.128258581146461,219.20938945587864,Sugarcane,Loamy Soil,Medium,46813,Medium (5-7 months),Wheat,85427,82410
123,82,66,27.58301167304926,88.92509382250022,8.249064141706029,249.7894761837897,Wheat,Loamy Soil,Low,46810,Medium (5-7 months),Sugarcane,62539,28764
62,49,82,42.66656301258971,59.39895666884175,4.509441134233337,273.6574136233595,Chilli,Loamy Soil,Medium,46074,Long (8-12 months),Rice,38429,42876
95,112,156,41.66558557650449,86.17698080754522,6.905299577220703,41.94474917037982,Sugarcane,Black Soil,High,65564,Long (8-12 months),Chilli,55025,63259
51,103,26,43.625348909114386,29.801794056657137,6.764065157232853,244.7496505370741,Chilli,Red Soil,Medium,77594,Medium (5-7 months),Groundnut,53265,39594
95,31,19,12.354782379779245,27.210527363820916,5.926149341768988,290.6275693170963,Rice,Red Soil,Medium,31691,Medium (5-7 months),Millets,46101,27368
131,44,160,29.964890724380794,76.16806397536456,8.308636914944834,34.79154344701341,Wheat,Red Soil,Low,63418,Short (3-4 months),Groundnut,47522,35010
28,30,154,23.02959681607242,37.86275776888516,7.137962640750243,274.0825273037355,Chilli,Red Soil,Medium,42998,Medium (5-7 months),Millets,62428,100456
35,87,35,27.388938833524087,62.163995709154996,7.998890221211775,285.7537294093885,Cotton,Sandy Soil,Low,56145,Short (3-4 months),Barley,52529,121324
12,30,194,19.586161348729075,73.30595022962883,7.336984893297696,73.74285470536857,Cotton,Red Soil,High,44406,Short (3-4 months),Maize,96068,79692
70,74,91,10.500865017468751,66.58451312444737,8.526459204535563,106.10880059328122,Wheat,Sandy Soil,High,63450,Short (3-4 months),Peanut,76445,76693
85,71,73,33.490643046118535,74.17604156211982,7.581143900183977,103.44398912422321,Rice,Red Soil,Medium,73631,Short (3-4 months),Maize,65659,134065
27,10,113,42.484224283952756,67.43744590408551,7.862859022107825,284.5180105164953,Sugarcane,Sandy Soil,Medium,58808,Medium (5-7 months),Barley,42841,142996
65,32,171,27.379084652925624,46.75834905239641,4.954781754245659,24.845498837783826,Chilli,Loamy Soil,High,53749,Medium (5-7 months),Wheat,78346,99846
44,17,85,20.31147613556795,22.015568276142293,8.943973934759642,175.14452837537854,Cotton,Red Soil,Low,77351,Medium (5-7 months),Millets,32434,76980
61,67,44,41.52450123284285,87.58150716789655,4.503856876581477,181.53001588651506,Chilli,Black Soil,High,51585,Long (8-12 months),Soybean,73139,54636
133,17,73,21.53423703911366,86.78110987554224,5.689886212150062,201.67151490162485,Cotton,Black Soil,High,49668,Short (3-4 months),Cotton,58466,56320
27,133,187,40.696850946620664,14.744870836531684,9.223933113995745,82.6117436732149,Cotton,Sandy Soil,High,55079,Long (8-12 months),Barley,31777,93768
27,44,75,38.646345560903846,86.34025599420993,4.202993459873873,152.17470328900828,Chilli,Loamy Soil,Low,77009,Long (8-12 months),Wheat,42944,77193
107,35,68,27.251157231197453,27.20137948997992,9.077790824583278,135.03081439288715,Wheat,Red Soil,Medium,66487,Medium (5-7 months),Groundnut,63972,125073
43,21,12,32.41456419401656,42.79229907215853,6.561511971070962,133.87411081946706,Wheat,Red Soil,High,61291,Long (8-12 months),Maize,71230,89318
83,141,75,33.23161041082611,49.69187106485334,4.685276762318161,113.18789868516625,Chilli,Red Soil,Medium,37935,Short (3-4 months),Millets,88023,39783
29,113,90,31.16760418204258,72.51860337570218,8.245156212903236,282.7846260323782,Sugarcane,Black Soil,Medium,67710,Short (3-4 months),Chilli,23150,34346
74,68,48,14.427781468309691,22.1802497318906,5.330208551823256,201.50872218851174,Rice,Sandy Soil,Low,79719,Short (3-4 months),Barley,23785,20522
127,61,42,32.9687998490089,85.12127089518724,7.863937858949181,231.7765255078802,Wheat,Loamy Soil,High,57092,Medium (5-7 months),Rice,31925,106966
91,29,121,8.937824391582387,95.07399661957976,8.590478507902676,109.76897822481192,Cotton,Sandy Soil,High,73664,Medium (5-7 months),Peanut,30995,46271
128,126,153,33.570328855377596,95.92678440096968,7.165729256437439,20.428907036064707,Cotton,Black Soil,High,59025,Short (3-4 months),Chilli,63626,149946
120,82,8,28.161613225736765,22.13074560914592,8.558989585442369,285.26565862019265,Sugarcane,Black Soil,Medium,48563,Long (8-12 months),Chilli,26473,113403
26,61,164,17.87827825950802,93.07084207257036,9.517416223259714,264.13989349354785,Chilli,Sandy Soil,Low,41524,Short (3-4 months),Peanut,47548,47426
120,75,59,36.8367161193605,62.93451116961286,7.0440218530168615,147.65838745747587,Sugarcane,Black Soil,Low,61050,Short (3-4 months),Cotton,72844,85041
115,92,97,22.949572127689954,76.57314483799685,4.484533671409991,127.54924573353458,Chilli,Loamy Soil,Low,48303,Long (8-12 months),Sugarcane,55217,34654
2,117,192,25.754921365586654,94.03235944620079,8.067731253663823,143.98811928327294,Cotton,Black Soil,High,54739,Long (8-12 months),Cotton,49941,68651
102,104,63,9.790127953791396,70.92110605978783,6.141664234581631,95.10866250131957,Sugarcane,Loamy Soil,Low,69953,Medium (5-7 months),Rice,46253,149170
136,51,98,22.811592876183127,53.41149723749103,6.921209093808766,191.36965519420392,Wheat,Black Soil,High,63826,Medium (5-7 months),Soybean,28146,141777
61,120,71,14.658237654055538,59.27264060045904,7.535387212060345,291.2308882090219,Chilli,Loamy Soil,Medium,37985,Short (3-4 months),Wheat,71679,20745
50,135,9,18.44921898858177,72.93630392548197,8.118472928693581,38.728836725797336,Chilli,Red Soil,Low,64374,Short (3-4 months),Millets,38334,133961
58,94,87,17.612690461746652,95.24125367957782,7.618835452439876,239.9975339831473,Wheat,Sandy Soil,Medium,79736,Medium (5-7 months),Sesame,22020,88275
117,115,76,10.429491044885049,90.53585489203721,5.002186876822093,36.649480740988125,Cotton,Red Soil,High,69637,Short (3-4 months),Maize,20995,20807
95,94,131,24.873825977323087,63.72645868109164,8.315712331230486,259.32492952797185,Rice,Red Soil,Low,57150,Long (8-12 months),Millets,48762,104708
112,133,41,27.03792539014812,32.34664955295466,8.696235191164117,60.76438628868499,Cotton,Black Soil,Medium,65953,Long (8-12 months),Cotton,91409,67879
61,143,31,28.72710359531957,43.980990500234235,3.7470050946406315,157.90403590417927,Wheat,Red Soil,Medium,52480,Medium (5-7 months),Maize,49430,90518
51,139,17,24.93394976363737,45.27356652676583,5.4862181638020076,161.78560678149205,Wheat,Loamy Soil,Low,53501,Short (3-4 months),Rice,79674,143818
11,16,138,39.128529012806005,39.04714733265128,9.792326614941427,195.73335831143996,Chilli,Black Soil,Low,70236,Short (3-4 months),Soybean,67756,143796
38,110,69,10.13880701581491,78.27193594460404,4.6475984777604635,188.67174502920702,Sugarcane,Sandy Soil,High,48563,Medium (5-7 months),Sesame,36066,130357
129,126,162,30.216793130940495,85.9221040371896,4.680348288633411,215.72942262638594,Cotton,Black Soil,Low,42373,Long (8-12 months),Soybean,40221,51117
130,57,184,39.01020640866833,41.675170994085256,7.307168939468234,256.42002899807045,Chilli,Sandy Soil,High,56074,Long (8-12 months),Peanut,23985,120993
112,104,45,10.255919683989191,86.79120528542516,5.679247216808753,30.25264154414326,Rice,Loamy Soil,Low,47009,Long (8-12 months),Sugarcane,88607,104998
100,41,19,26.12188349843448,77.21683186222852,7.7302635078645565,225.65813873660395,Wheat,Red Soil,Medium,65619,Short (3-4 months),Groundnut,66819,91879
112,123,137,29.353165393638342,52.07223665531174,5.193649265894802,34.52618072421734,Chilli,Loamy Soil,High,74278,Medium (5-7 months),Wheat,28119,55535
80,63,19,15.478705431127057,74.15011494507665,6.244081348044049,241.1596699009931,Cotton,Sandy Soil,High,30989,Medium (5-7 months),Sesame,72463,121847
112,58,5,17.625257659784417,80.20867118891819,9.925011206419212,241.01562647264748,Sugarcane,Red Soil,Low,47653,Medium (5-7 months),Millets,69521,133080
1,5,19,36.203459820004355,62.35177829553404,5.90610269764782,73.36074203527774,Wheat,Red Soil,Low,51190,Medium (5-7 months),Groundnut,38390,25048
129,32,192,28.599384344236835,52.24341941036318,4.058827763404908,78.45548564312406,Sugarcane,Loamy Soil,Medium,47658,Short (3-4 months),Wheat,26933,70443
53,116,52,19.830504968475502,22.977392397110652,8.278868070164583,41.94744926682266,Cotton,Sandy Soil,Low,68922,Long (8-12 months),Barley,67596,130142
86,20,186,35.477255289162756,14.375453272694292,7.289497014832596,87.08622376022599,Wheat,Black Soil,High,44166,Short (3-4 months),Cotton,65691,74086
128,32,187,34.84857683153171,94.60281763662168,6.363547163371931,159.1876238275092,Sugarcane,Loamy Soil,Low,35381,Long (8-12 months),Rice,73753,32468
125,116,76,20.862864205219978,37.18786120054733,9.348135464827,128.43582907224246,Wheat,Sandy Soil,Medium,65696,Medium (5-7 months),Peanut,52283,137780
129,133,121,25.85495588132599,71.09157339371602,4.447615632767553,82.50717535059049,Rice,Black Soil,High,41183,Short (3-4 months),Chilli,62044,80965
52,120,31,31.98403883901763,95.1265772388079,6.653900284679672,193.08686919348483,Wheat,Loamy Soil,Medium,65034,Medium (5-7 months),Sugarcane,99766,24413
67,102,162,20.787847621521614,84.405107321657,4.737999417826847,165.7278844134969,Wheat,Loamy Soil,Medium,77494,Medium (5-7 months),Rice,34857,135704
122,74,64,30.746538430526087,24.76630804241003,4.041650892725666,55.12721262192029,Wheat,Sandy Soil,High,38353,Short (3-4 months),Peanut,26332,99976
37,96,70,17.575548642160783,83.00105135871704,6.349236443899437,109.49094234676309,Wheat,Loamy Soil,Medium,58834,Medium (5-7 months),Rice,72864,103628
23,7,178,19.002547524241574,76.52724284343003,9.596514019673638,282.11935496586426,Rice,Red Soil,Low,44568,Medium (5-7 months),Groundnut,37848,149248
68,85,56,19.652559918933434,42.49522308551484,8.147887300053632,207.68674031287264,Rice,Black Soil,High,56975,Short (3-4 months),Chilli,27592,92988
115,48,85,41.44701341750915,73.37335141503844,5.012734901054631,284.8980458192726,Wheat,Loamy Soil,Medium,69166,Long (8-12 months),Wheat,87702,102709
97,28,39,37.87899742339173,85.05626106127974,6.479574543049502,147.07724928218693,Wheat,Sandy Soil,Medium,62995,Short (3-4 months),Sesame,88369,146513
138,103,125,28.521606306450572,39.23984379103959,8.632636954331502,25.87330586035979,Cotton,Black Soil,Low,72889,Medium (5-7 months),Cotton,45461,149898
96,116,46,28.47651879023105,88.75456300574153,4.76132774180099,240.72813127963227,Cotton,Sandy Soil,Low,68994,Short (3-4 months),Sesame,81338,116208
123,127,188,10.782370837079387,21.014311159712705,4.8145901079254765,46.5203452117061,Cotton,Black Soil,Medium,70075,Short (3-4 months),Cotton,43444,75277
69,116,49,31.460912737609767,59.473459047480546,4.668839049745341,282.56317572666956,Wheat,Loamy Soil,High,42191,Long (8-12 months),Sugarcane,88463,91475
92,134,56,20.260592155151983,34.2505234390444,7.410816871457075,105.52173633807449,Cotton,Loamy Soil,Low,37901,Long (8-12 months),Wheat,80840,48794
2,72,155,30.164196263500674,76.66589219540592,3.6909166362667105,203.598186819769,Chilli,Sandy Soil,High,41883,Medium (5-7 months),Sesame,64880,28162
